🔍 Fetching applications without department mapping...

�� Summary:
Total Applications without Department: 548
Total VMs in Unknown Department: 5860

====================================================================================================
Application                                        VMs        Kritikalitas
220. Dashboard MIS TRB                                 3   Unspecified
221. SANNAV                                            3   Unspecified
222. MPN Gen 3                                         3   Very High
223. Replacement Card Machine                          3   Unspecified
224. SSRS                                              3   Unspecified
225. NEO (Network Access Operation)                    3   Unspecified
226. Portal Absensi                                    3   Low
227. Cabin Crew                                        3   Unspecified
228. Redis Sentinel                                    3   CRA
229. Regulatory Report                                 3   CRA, Critical
230. SME Lending                                       3   Unspecified
231. Cloud DNS                                         3   High
232. RemmoteAgen Bamboo                                3   Unspecified
233. Zoomus                                            3   CRA
234. Dataiku                                           3   Critical
235. TiKV Cluster                                      3   Unspecified
236. CIPS                                              3   Unspecified
237. BRIDONE                                           3   Unspecified
238. DAST (Dynamic Application Security Testing)       3   Critical
239. Bank Raya                                         3   Unspecified
240. Secure Structured Layer Automation (SSL Automation)     3   Critical
241. BRISIPD                                           3   Unspecified
242. CAPPS                                             2   Unspecified
243. ArcGIS Enterprise                                 2   CRA
244. Shadow                                            2   CRA
245. Partner Management                                2   Unspecified
246. Dashboard Account Planning (Dashboard Korporasi & Menengah)     2   Low
247. Container Security                                2   Critical
248. Asuransi Uang Online                              2   Unspecified
249. APM                                               2   CRA
250. Antasena                                          2   Unspecified
251. MCRLN ETL - Subsidi Stimulus Pinjaman KUR         2   Unspecified
252. Tufin (Secure Change)                             2   CRA
253. Tbank                                             2   CRA
254. Portal DAO                                        2   Unspecified
255. BRIStars: E-Patching                              2   Low
256. Rekon Quorum                                      2   Unspecified
257. Message Processor Apigee                          2   Unspecified
258. Predictive Budgeting                              2   Unspecified
259. Portal ICG (Integrated Corporate Governance)      2   Low
260. Teller Cash Recycle                               2   Unspecified
261. BRION                                             2   Unspecified
262. Portal Patching SDK                               2   Unspecified
263. Reporting RCO                                     2   Unspecified
264. Portal OSD                                        2   CRA
265. IRBB                                              2   Unspecified
266. IBM License Metric Tools                          2   Low
267. Database MySQL (DBA)                              2   Unspecified
268. Server Pool DBT-DBHA                              2   Unspecified
269. Server WebService H2H                             2   CRA
270. Rekon Ebor                                        2   Unspecified
271. BMNDB DBS                                         2   Unspecified
272. Webservice RK Last 5 Year                         2   CRA
273. Mailbox                                           2   Unspecified
274. NDS                                               2   Critical
275. Zookeeper                                         2   CRA
276. DIO                                               2   Unspecified
277. Nifi                                              2   Unspecified
278. Notifikasi KKV                                    2   Unspecified
279. E-Sign                                            2   Unspecified
280. IVAT Paques                                       2   CRA, Unspecified
281. Sangfor                                           2   Unspecified
282. Purple Team                                       2   CRA
283. MKPSB                                             2   Unspecified
284. Stimulus BBI                                      2   Unspecified, CRA
285. BRIMC                                             2   Unspecified
286. PA Workspace                                      2   Unspecified
287. Management Inventory Dashboard                    2   Unspecified
