"Server WebService H2H",2,"CRA","Unknown Department"
"Rekon Ebor",2,"Unspecified","Unknown Department"
"BMNDB DBS",2,"Unspecified","Unknown Department"
"Webservice RK Last 5 Year",2,"CRA","Unknown Department"
"Mailbox",2,"Unspecified","Unknown Department"
"NDS",2,"Critical","Unknown Department"
"Zookeeper",2,"CRA","Unknown Department"
"DIO",2,"Unspecified","Unknown Department"
"Nifi",2,"Unspecified","Unknown Department"
"Notifikasi KKV",2,"Unspecified","Unknown Department"
"E-Sign",2,"Unspecified","Unknown Department"
"IVAT Paques",2,"CRA; Unspecified","Unknown Department"
"Sangfor",2,"Unspecified","Unknown Department"
"Purple Team",2,"CRA","Unknown Department"
"MKPSB",2,"Unspecified","Unknown Department"
"Stimulus BBI",2,"Unspecified; CRA","Unknown Department"
"BRIMC",2,"Unspecified","Unknown Department"
"PA Workspace",2,"Unspecified","Unknown Department"
"Management Inventory Dashboard",2,"Unspecified","Unknown Department"
"ARIS (EA Tools)",2,"Medium","Unknown Department"
"IVAT",2,"Unspecified","Unknown Department"
"E-Tilang",2,"Unspecified","Unknown Department"
"Jenkins",2,"Medium","Unknown Department"
"FortiManager",2,"Critical","Unknown Department"
"Network Sentul Core",2,"Critical","Unknown Department"
"SWD",2,"Unspecified","Unknown Department"
"Network Ragunan Core",2,"Critical","Unknown Department"
"EDC Controller Master",2,"Unspecified","Unknown Department"
"Portal IPM",2,"Unspecified","Unknown Department"
"BRIStars: Tasklist",2,"Unspecified","Unknown Department"
"Katalon",2,"CRA","Unknown Department"
"NFS Backup",2,"CRA","Unknown Department"
"Secure Track",2,"CRA","Unknown Department"
"SWIFT Alliance Gateway UKLN",2,"Very High","Unknown Department"
"CACTI",2,"Medium","Unknown Department"
"Onetouch Approval",2,"Unspecified","Unknown Department"
"AJKO",2,"CRA; Unspecified","Unknown Department"
"Zevenet",2,"CRA","Unknown Department"
"Portal CPR",2,"Unspecified","Unknown Department"
"E-Kios",2,"Unspecified","Unknown Department"
"Seafile",2,"CRA","Unknown Department"
"Bamboo",2,"Low","Unknown Department"
"HSM",2,"Critical","Unknown Department"
"DR Solution",2,"Unspecified","Unknown Department"
"Percona",2,"Unspecified","Unknown Department"
"FBTI Interface & FBTI Data Extractor",2,"Unspecified","Unknown Department"
"BRIStars: Adios",1,"Medium","Unknown Department"
"BRIBOX Ticketing System",1,"CRA","Unknown Department"
"Brijamin",1,"Unspecified","Unknown Department"
"EPROC",1,"CRA","Unknown Department"
"A3KO (Asuransi Low)",1,"Unspecified","Unknown Department"
"SKP",1,"CRA","Unknown Department"
"SourceCode",1,"CRA","Unknown Department"
"ABBYY OCR SME",1,"CRA","Unknown Department"
"Blancco Data Destruction",1,"Unspecified","Unknown Department"
"ACI Health Check",1,"CRA","Unknown Department"
"Automation Tools",1,"Unspecified","Unknown Department"
"NFS Recording ACRA",1,"Unspecified","Unknown Department"
"Incoming Visa",1,"Unspecified","Unknown Department"
"Teras Monthly",1,"Unspecified","Unknown Department"
"BRIGO",1,"Unspecified","Unknown Department"
"POC Automation Tools",1,"Unspecified","Unknown Department"
"OPACFILTER",1,"Unspecified","Unknown Department"
"BRIJulo",1,"Unspecified","Unknown Department"
"BRINS",1,"Unspecified","Unknown Department"
"Aqua",1,"CRA","Unknown Department"
"Anaconda",1,"CRA","Unknown Department"
"Agile Reporter",1,"Medium","Unknown Department"
"BOM Dependency Tracker",1,"Unspecified","Unknown Department"
"E-Library",1,"Unspecified","Unknown Department"
"DataMart",1,"Unspecified","Unknown Department"
"Portal Hubungan",1,"Unspecified","Unknown Department"
"Stablebit",1,"CRA","Unknown Department"
"Unstructured Data Analytics",1,"CRA","Unknown Department"
"GLHIST",1,"Unspecified","Unknown Department"
"BRI Vision",1,"CRA","Unknown Department"
"SAV",1,"Unspecified","Unknown Department"
"Portal RCO",1,"CRA","Unknown Department"
"My BRI",1,"Unspecified","Unknown Department"
"Brives",1,"Unspecified","Unknown Department"
"BAM",1,"Unspecified","Unknown Department"
"Queue Mass UKLN",1,"Unspecified","Unknown Department"
"E-Katalog",1,"CRA","Unknown Department"
"OMS",1,"CRA","Unknown Department"
"DVWA",1,"CRA","Unknown Department"
"Scoring System (Predixion)",1,"Unspecified","Unknown Department"
"Infra-Data",1,"CRA","Unknown Department"
"Smart Reporting",1,"CRA","Unknown Department"
"NEMO",1,"CRA","Unknown Department"
"DWH BRITL",1,"Medium","Unknown Department"
"Logarithm iNAC",1,"Unspecified","Unknown Department"
"Mimix",1,"CRA","Unknown Department"
"Signserver",1,"CRA","Unknown Department"
"MIR(Engine Terpusat Reporting Micro BRI)",1,"CRA","Unknown Department"
"WS Token",1,"CRA","Unknown Department"
"Docker",1,"CRA","Unknown Department"
"Checkmarx Database",1,"CRA","Unknown Department"
"Portal BEA",1,"Unspecified","Unknown Department"
"Jetico Data Destruction",1,"Medium","Unknown Department"
"Server EDM Testing",1,"Unspecified","Unknown Department"
"Nios",1,"Unspecified","Unknown Department"
"E-Statement",1,"Unspecified","Unknown Department"
"Video Banking",1,"Unspecified","Unknown Department"
"BRI Prioritas",1,"Unspecified","Unknown Department"
"Payment KK",1,"Unspecified","Unknown Department"
"TRD Online",1,"Unspecified","Unknown Department"
"Portal Supplies",1,"Unspecified","Unknown Department"
"BRISANBOX",1,"Unspecified","Unknown Department"
"SSIS",1,"CRA","Unknown Department"
"CA Server",1,"CRA","Unknown Department"
"E-Catalog Himbara",1,"Unspecified","Unknown Department"
"Point Reward",1,"Unspecified","Unknown Department"
"RTE (Rincian Transaksi Export)",1,"Unspecified","Unknown Department"
"DWH BRISG",1,"Low","Unknown Department"
"Backend UKLN",1,"Unspecified","Unknown Department"
"Report KLR",1,"Unspecified","Unknown Department"
"MinIO UKLN",1,"Unspecified","Unknown Department"
"Remote Collector",1,"Unspecified","Unknown Department"
"Template/System",1,"Template/System","Unknown Department"
"BWA",1,"Unspecified","Unknown Department"
"Time Scale",1,"Unspecified","Unknown Department"
"Visitor Management",1,"CRA","Unknown Department"
"CNO Automation",1,"CRA","Unknown Department"
"Corporate Payment",1,"CRA","Unknown Department"
"Dashboard Eksternal File Server",1,"Unspecified","Unknown Department"
"Dashboard VFDF Value Chain",1,"Unspecified","Unknown Department"
"Server Terminal CNO",1,"CRA","Unknown Department"
"Financial Crime Tool Kit",1,"Unspecified","Unknown Department"
"DXL Broker",1,"Unspecified","Unknown Department"
"Toad for Oracle",1,"Unspecified","Unknown Department"
"BIS Distribusi",1,"Unspecified","Unknown Department"
"Scopia Desktop",1,"CRA","Unknown Department"
"Operasional MAO",1,"Unspecified","Unknown Department"
"E-Payslip",1,"CRA","Unknown Department"
"Qluepedia",1,"Unspecified","Unknown Department"
"SFTP BRISG",1,"Unspecified","Unknown Department"
"Access Door",1,"Low","Unknown Department"
"MyQR BRI",1,"Unspecified","Unknown Department"
"Conjur",1,"Unspecified","Unknown Department"
"VoIP",1,"Unspecified","Unknown Department"
"CSSM Cisco",1,"CRA","Unknown Department"
"Manajemen IUMK",1,"CRA","Unknown Department"
"Reporting MDO",1,"Unspecified","Unknown Department"
"E-Auction DJKN",1,"CRA","Unknown Department"
"Loyalty Management System (LMS)",1,"Medium","Unknown Department"
"KLR",1,"Unspecified","Unknown Department"
"Digiops UiPath",1,"Unspecified","Unknown Department"
"IDEB",1,"CRA","Unknown Department"
"Portal PDM",1,"Unspecified","Unknown Department"
"Beban Bunga",1,"Unspecified","Unknown Department"
"CRHOST",1,"Unspecified","Unknown Department"
"SILASBRI",1,"Unspecified","Unknown Department"
"Power BI",1,"CRA","Unknown Department"
"Server VHA",1,"Unspecified","Unknown Department"
"Portal STI",1,"Critical","Unknown Department"
"DC Router",1,"Critical","Unknown Department"
"PEM (Postgres Enterprise Manager)",1,"CRA","Unknown Department"
"ACRA",1,"Unspecified","Unknown Department"
"Brisamba",1,"Unspecified","Unknown Department"
"Centralized Artifact Repository",1,"Medium","Unknown Department"
"COGNOS",1,"CRA","Unknown Department"
"EATL",1,"Unspecified","Unknown Department"
"Dashboard Supermikro",1,"Unspecified","Unknown Department"
"Video Conference",1,"CRA","Unknown Department"
"SAG",1,"CRA","Unknown Department"
"SMI",1,"CRA","Unknown Department"
"MTA (Mail Transfer Agent)",1,"CRA","Unknown Department"
"Certificate Issing",1,"CRA","Unknown Department"
"BRILIAN News",1,"Low","Unknown Department"
"IBM Websphere",1,"Unspecified","Unknown Department"
"Database DORC",1,"Unspecified","Unknown Department"
"RabbitMQ UKLN",1,"Unspecified","Unknown Department"
"Web Server CNO",1,"Unspecified","Unknown Department"
"Risk Alert",1,"Unspecified","Unknown Department"
"Server GDP",1,"Unspecified","Unknown Department"
"Portal CRR & CRS",1,"Unspecified","Unknown Department"
"Support & Service",1,"Low","Unknown Department"
"Automation SDK",1,"Unspecified","Unknown Department"
"CAASM (Cyber Asset Attack Surface Management)",1,"Unspecified","Unknown Department"
"Konten Digital Terminal 3",1,"CRA","Unknown Department"
"Project Automation Tools",1,"CRA","Unknown Department"
"Portal ODR",1,"Unspecified","Unknown Department"
"FBI AMK / FBI Report",1,"Unspecified","Unknown Department"
"turbonomic",1,"CRA","Unknown Department"
"Cloud Vision",1,"CRA","Unknown Department"
"Portal JKE",1,"Unspecified","Unknown Department"
"BRIGV",1,"Unspecified","Unknown Department"
"Manage Engine Application Manager",1,"CRA","Unknown Department"
"New Reference Rate Engine",1,"Unspecified","Unknown Department"
"Aplikasi CAO/IAO",1,"Unspecified","Unknown Department"
"SSB (Self Service Banking)",1,"Unspecified","Unknown Department"
"People Analytic",1,"CRA","Unknown Department"
"Collateral Data Management",1,"CRA","Unknown Department"
"GoAccess",1,"CRA","Unknown Department"
"H2H PPDPP",1,"CRA","Unknown Department"
"Early Warning Indicators (EWI)",1,"Unspecified","Unknown Department"
"Card Management Polri",1,"CRA","Unknown Department"
"Portal DWH BRITL",1,"Medium","Unknown Department"
"Database DevOps",1,"Unspecified","Unknown Department"
"BRIStars: BRIPASTI",1,"Unspecified","Unknown Department"
"Pengkinian Report Server",1,"Unspecified","Unknown Department"
"MIS",1,"CRA","Unknown Department"
"MISP (Malware Information Sharing Platform)",1,"CRA","Unknown Department"
"Dashboard VA Korporasi",1,"Low","Unknown Department"
"Server HCI",1,"CRA","Unknown Department"
"Operasional TRO",1,"CRA","Unknown Department"
"Portal Big Data INF",1,"Unspecified","Unknown Department"
"Server Platform PFO",1,"CRA","Unknown Department"
"Portal DWH Kanpus",1,"CRA","Unknown Department"
"Dashboard Machine Learning Intelligent",1,"CRA","Unknown Department"
"Collect Log SOC",1,"Unspecified","Unknown Department"
"Virtual HMC (Hardware Management Console)",1,"Unspecified","Unknown Department"
"Public Key Infrastructure",1,"CRA","Unknown Department"
"Forensic Tools",1,"CRA","Unknown Department"
"WAZUH",1,"CRA","Unknown Department"
"Customer Handling Management",1,"Unspecified","Unknown Department"
"PL Core",1,"Unspecified","Unknown Department"
"JSON Validator",1,"CRA","Unknown Department"
"Info Pinjol",1,"Unspecified","Unknown Department"
"SIP",1,"CRA","Unknown Department"
"Otomasi Trea",1,"Unspecified","Unknown Department"
"Repository Local",1,"Unspecified","Unknown Department"
"Gudang MX",1,"CRA","Unknown Department"
"Health Check",1,"CRA","Unknown Department"
"MEH",1,"Unspecified","Unknown Department"
"VM Connection RSC",1,"Unspecified","Unknown Department"
"Dashboard Debitur Naik Kelas",1,"Unspecified","Unknown Department"
"Manajemen Perangkat Infoblox",1,"CRA","Unknown Department"
"CRHost",1,"Unspecified","Unknown Department"
"LCR (Liquidity Coverage Ratio)",1,"Unspecified","Unknown Department"
"CPA (Customer Profitability Analysis)",1,"Unspecified","Unknown Department"
"VHA",1,"Unspecified","Unknown Department"
"Customer Porfolio Management",1,"Unspecified","Unknown Department"
"MOOGSOFT",1,"Medium","Unknown Department"
"Barcode Polri",1,"Unspecified","Unknown Department"
"Portal DWH",1,"Unspecified","Unknown Department"
"RSS Timor Leste",1,"Unspecified","Unknown Department"
"OPCOT",1,"Unspecified","Unknown Department"
"Database OPX",1,"CRA","Unknown Department"
"Git Source Code",1,"Unspecified","Unknown Department"
"Portal SDM",1,"Unspecified","Unknown Department"
"Intelligent Financial Analytics",1,"Unspecified","Unknown Department"
"Irregularity Detection",1,"Unspecified","Unknown Department"
"Free Radius",1,"CRA","Unknown Department"
"Phone Repository",1,"Unspecified","Unknown Department"
"Debuging Server",1,"CRA","Unknown Department"
